Feature,Random_Forest_Importance,Gradient_Boosting_Importance
assists_per_game,0.10832896475585192,0.13571555421128806
defensive_rating,0.09944189177086575,0.10226360945567464
rebounds_per_game,0.0983653892509408,0.10922919391684778
team_ppg,0.097641163240178,0.10094250555714107
fg_percentage,0.09543682825984245,0.08923196586892168
turnovers_per_game,0.09444884758875524,0.12465282966279255
three_point_pct,0.09228894824254104,0.10094627276361608
offensive_rating,0.09221370093691256,0.07600251761413643
previous_wins,0.06944265764686389,0.06235533606276297
playoff_experience,0.06659962919828016,0.05079786364234392
days_rest,0.037284491796135265,0.025117756694977407
injury_count,0.03496385612546231,0.022715944482681723
home_advantage,0.013543631187370701,2.8650066815598066e-05
